Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
104;tt21235248;21-05-2025;21-05-2025;;Ghostbusters: Frozen Empire;Ghostbusters: Frozen Empire;https://www.imdb.com/title/tt21235248/;Movie;7.107;115;2024;Adventure, Comedy, Fantasy, Sci-Fi;94315;22-03-2024;Gil Kenan;51;171;46;41;61;92082;52;213103;58;
105;tt13818368;21-05-2025;21-05-2025;;Fighter;Fighter;https://www.imdb.com/title/tt13818368/;Movie;7.108;166;2024;Action, Drama;52386;25-01-2024;Siddharth Anand;*;*;*;*;*;*;*;*;*;does not exist on flick metrix
106;tt12810074;21-05-2025;21-05-2025;;Nightbitch;Nightbitch;https://www.imdb.com/title/tt12810074/;Movie;7.109;99;2024;Comedy, Horror;20269;06-12-2024;Marielle Heller;59;108;56;41;56;18359;56;104893;62;
107;tt26736843;21-05-2025;21-05-2025;;The Watchers;The Watchers;https://www.imdb.com/title/tt26736843/;Movie;7.110;102;2024;Fantasy, Horror, Mystery, Thriller;57908;07-06-2024;Ishana Shyamalan;48;107;46;41;57;55165;48;234560;53;
108;tt22893404;21-05-2025;21-05-2025;;Maria;Maria;https://www.imdb.com/title/tt22893404/;Movie;7.111;124;2024;Biography, Drama, Music;19884;11-12-2024;Pablo Larraín;67;1200;63;41;64;18025;66;96337;70;
109;tt0327785;21-05-2025;21-05-2025;;The Killer's Game;The Killer's Game;https://www.imdb.com/title/tt0327785/;Movie;7.112;104;2024;Action, Comedy, Thriller;17659;13-09-2024;J.J. Perry;47;28;36;41;57;16176;52;21963;56;
110;tt13452446;21-05-2025;21-05-2025;;Damsel;Damsel;https://www.imdb.com/title/tt13452446/;Movie;7.113;110;2024;Action, Adventure, Fantasy;110284;08-03-2024;Juan Carlos Fresnadillo;53;78;46;41;61;1820;50;325595;57;
111;tt11687002;21-05-2025;21-05-2025;;The Outrun;The Outrun;https://www.imdb.com/title/tt11687002/;Movie;7.114;118;2024;Drama;16221;04-10-2024;Nora Fingscheidt;74;87;72;41;69;13976;74;88906;77;
112;tt24169886;21-05-2025;21-05-2025;;The Instigators;The Instigators;https://www.imdb.com/title/tt24169886/;Movie;7.115;101;2024;Action, Comedy, Crime, Drama, Mystery, Thriller;38261;09-08-2024;Doug Liman;53;80;48;41;62;36732;56;48695;54;
113;tt9214772;21-05-2025;21-05-2025;;Monkey Man;Monkey Man;https://www.imdb.com/title/tt9214772/;Movie;7.116;121;2024;Action, Crime, Thriller;92462;05-04-2024;Dev Patel;72;168;70;41;68;89909;74;509194;74;
114;tt32178949;21-05-2025;21-05-2025;;The Seed of the Sacred Fig;Dane-ye anjir-e ma'abed;https://www.imdb.com/title/tt32178949/;Movie;7.117;167;2024;Crime, Drama, Thriller;14332;18-02-2025;Mohammad Rasoulof;83;85;84;41;76;12140;78;75101;81;
115;tt11762114;21-05-2025;21-05-2025;;Mean Girls;Mean Girls;https://www.imdb.com/title/tt11762114/;Movie;7.118;112;2024;Comedy, Musical;37286;12-01-2024;Samantha Jayne, Arturo Perez Jr.;61;127;58;41;56;36598;52;529595;61;
116;tt10236164;21-05-2025;21-05-2025;;The Girl with the Needle;Pigen med nålen;https://www.imdb.com/title/tt10236164/;Movie;7.119;123;2024;Crime, Drama, History;14328;24-01-2025;Magnus von Horn;80;59;82;41;75;11977;78;78534;79;
117;tt23137390;21-05-2025;21-05-2025;;Immaculate;Immaculate;https://www.imdb.com/title/tt23137390/;Movie;7.120;89;2024;Horror, Thriller;53443;22-03-2024;Michael Mohan;61;123;57;41;58;51488;58;461601;59;
118;tt27367464;21-05-2025;21-05-2025;;Kneecap;Kneecap;https://www.imdb.com/title/tt27367464/;Movie;7.121;105;2024;Comedy, Drama, Music;18503;02-08-2024;Rich Peppiatt;78;76;76;41;76;16558;82;138571;81;
119;tt23770030;21-05-2025;21-05-2025;;Memoir of a Snail;Memoir of a Snail;https://www.imdb.com/title/tt23770030/;Movie;7.122;95;2024;Animation, Drama;18099;17-10-2024;Adam Elliot;82;77;81;41;78;15038;82;146481;81;
120;tt14415204;21-05-2025;21-05-2025;;Never Let Go;Never Let Go;https://www.imdb.com/title/tt14415204/;Movie;7.123;101;2024;Horror, Thriller;15734;20-09-2024;Alexandre Aja;58;62;55;41;54;13535;50;38293;53;
121;tt24807110;21-05-2025;21-05-2025;;Don't Move;Don't Move;https://www.imdb.com/title/tt24807110/;Movie;7.124;92;2024;Horror, Thriller;39770;25-10-2024;Brian Netto, Adam Schindler;58;32;54;41;58;37834;50;145692;58;
122;tt26548265;21-05-2025;21-05-2025;;Maharaja;Maharaja;https://www.imdb.com/title/tt26548265/;Movie;7.125;141;2024;Action, Crime, Drama, Thriller;68660;13-06-2024;Nithilan Saminathan;78;5;*;*;84;65173;76;53036;79;missing mc
123;tt23778968;21-05-2025;21-05-2025;;Thelma;Thelma;https://www.imdb.com/title/tt23778968/;Movie;7.126;98;2024;Action, Comedy;23321;21-06-2024;Josh Margolin;77;112;77;41;70;21463;74;99874;76;
124;tt13397574;21-05-2025;21-05-2025;;Mothers' Instinct;Mothers' Instinct;https://www.imdb.com/title/tt13397574/;Movie;7.127;94;2024;Drama, Thriller;20949;13-08-2024;Benoît Delhomme;55;39;48;41;63;19923;62;93340;60;
125;tt31392609;21-05-2025;21-05-2025;;How to Make Millions Before Grandma Dies;Lahn Mah;https://www.imdb.com/title/tt31392609/;Movie;7.128;125;2024;Comedy, Drama, Family;16082;13-09-2024;Pat Boonnitipat;77;3;74;41;80;12701;86;97676;82;
126;tt12610390;21-05-2025;21-05-2025;;The Union;The Union;https://www.imdb.com/title/tt12610390/;Movie;7.129;107;2024;Action, Comedy, Thriller;53499;16-08-2024;Julian Farino;46;44;44;41;54;5234;40;459007;47;
127;tt19864802;21-05-2025;21-05-2025;;Land of Bad;Land of Bad;https://www.imdb.com/title/tt19864802/;Movie;7.130;113;2024;Action, Thriller;51846;16-02-2024;William Eubank;61;40;57;41;66;50021;60;46946;65;
128;tt30321146;21-05-2025;21-05-2025;;In a Violent Nature;In a Violent Nature;https://www.imdb.com/title/tt30321146/;Movie;7.131;94;2024;Drama, Horror, Thriller;26832;28-06-2024;Chris Nash;67;112;68;41;56;250013;56;149650;62;
129;tt32086077;21-05-2025;21-05-2025;;All We Imagine as Light;All We Imagine as Light;https://www.imdb.com/title/tt32086077/;Movie;7.132;118;2024;Drama, Romance;10348;02-10-2024;Payal Kapadia;87;84;93;41;71;8892;78;702004;83;
130;tt26757462;21-05-2025;21-05-2025;;Hellboy: The Crooked Man;Hellboy: The Crooked Man;https://www.imdb.com/title/tt26757462/;Movie;7.133;99;2024;Action, Horror, Mystery, Thriller;13978;08-10-2024;Brian Taylor;47;26;45;41;45;12216;46;23340;47;
131;tt11097384;21-05-2025;21-05-2025;;Spaceman;Spaceman;https://www.imdb.com/title/tt11097384/;Movie;7.134;107;2024;Adventure, Drama, Sci-Fi;43391;01-03-2024;Johan Renck;57;79;55;41;57;42319;60;114970;60;
